PassengerId,Pclass,Sex,Embarked,genTitle,is_alone,small_fam,large_fam,age_group,fare_group,Survived
139,3,0,0,2,1,0,0,1,1,0
140,1,0,1,2,1,0,0,2,3,0
141,3,1,1,3,0,1,0,3,2,0
142,3,1,0,1,1,0,0,2,0,1
143,3,1,0,3,0,1,0,2,2,1
144,3,0,2,2,1,0,0,2,0,0
145,2,0,0,2,1,0,0,2,1,0
146,2,0,0,2,0,1,0,2,3,0
147,3,0,0,2,1,0,0,2,0,1
148,3,1,0,1,0,0,1,1,3,0
149,2,0,0,2,0,1,0,3,2,0
150,2,0,0,5,1,0,0,3,1,0
151,2,0,0,5,1,0,0,4,1,0
152,1,1,0,3,0,1,0,2,3,1
153,3,0,0,2,1,0,0,4,1,0
154,3,0,0,2,0,1,0,3,2,0
155,3,0,0,2,1,0,0,3,0,0
156,1,0,1,2,0,1,0,4,3,0
157,3,1,2,1,1,0,0,1,0,1
158,3,0,0,2,1,0,0,2,1,0
159,3,0,0,2,1,0,0,3,1,0
160,3,0,0,0,0,0,1,1,3,0
161,3,0,0,2,0,1,0,3,2,0
162,2,1,0,3,1,0,0,3,2,1
163,3,0,0,2,1,0,0,2,0,0
164,3,0,0,2,1,0,0,2,1,0
165,3,0,0,0,0,0,1,0,3,0
166,3,0,0,0,0,1,0,1,2,1
167,1,1,0,3,0,1,0,3,3,1
168,3,1,0,3,0,0,1,3,2,0
169,1,0,0,2,1,0,0,3,2,0
170,3,0,0,2,1,0,0,2,3,0
171,1,0,0,2,1,0,0,4,3,0
172,3,0,2,0,0,0,1,1,2,0
173,3,1,0,1,0,1,0,0,1,1
174,3,0,0,2,1,0,0,2,1,0
175,1,0,1,2,1,0,0,4,2,0
176,3,0,0,2,0,1,0,2,0,0
177,3,0,0,0,0,0,1,1,2,0
178,1,1,1,1,1,0,0,4,2,0
179,2,0,0,2,1,0,0,2,1,0
180,3,0,0,2,1,0,0,3,0,0
181,3,1,0,1,0,0,1,2,3,0
182,2,0,1,2,1,0,0,3,2,0
183,3,0,0,0,0,0,1,1,3,0
184,2,0,0,0,0,0,1,0,3,1
185,3,1,0,1,0,1,0,1,2,1
186,1,0,0,2,1,0,0,3,3,0
187,3,1,2,3,0,1,0,3,2,1
188,1,0,0,2,1,0,0,3,2,1
189,3,0,2,2,0,1,0,3,2,0
190,3,0,0,2,1,0,0,3,0,0
191,2,1,0,3,1,0,0,2,1,1
192,2,0,0,2,1,0,0,2,1,0
193,3,1,0,1,0,1,0,2,0,1
194,2,0,0,0,0,1,0,1,2,1
195,1,1,1,3,1,0,0,3,2,1
196,1,1,1,1,1,0,0,4,3,1
197,3,0,2,2,1,0,0,3,0,0
198,3,0,0,2,0,1,0,3,1,0
199,3,1,2,1,1,0,0,2,0,1
200,2,1,0,1,1,0,0,2,1,0
201,3,0,0,2,1,0,0,2,1,0
202,3,0,0,2,0,0,1,3,3,0
203,3,0,0,2,1,0,0,3,0,0
204,3,0,1,2,1,0,0,3,0,0
205,3,0,0,2,1,0,0,2,1,1
206,3,1,0,1,0,1,0,1,1,0
207,3,0,0,2,0,1,0,2,2,0
208,3,0,1,2,1,0,0,2,2,1
209,3,1,2,1,1,0,0,1,0,1
210,1,0,1,2,1,0,0,3,2,1
211,3,0,0,2,1,0,0,2,0,0
212,2,1,0,1,1,0,0,3,2,1
213,3,0,0,2,1,0,0,2,0,0
214,2,0,0,2,1,0,0,2,1,0
215,3,0,2,2,0,1,0,3,0,0
216,1,1,1,1,0,1,0,2,3,1
217,3,1,0,1,1,0,0,2,1,1
218,2,0,0,2,0,1,0,3,2,0
219,1,1,1,1,1,0,0,2,3,1
220,2,0,0,2,1,0,0,2,1,0
221,3,0,0,2,1,0,0,1,1,1
222,2,0,0,2,1,0,0,2,1,0
223,3,0,0,2,1,0,0,4,1,0
224,3,0,0,2,1,0,0,3,0,0
225,1,0,0,2,0,1,0,3,3,1
226,3,0,0,2,1,0,0,2,1,0
227,2,0,0,2,1,0,0,2,1,1
228,3,0,0,2,1,0,0,2,0,0
229,2,0,0,2,1,0,0,2,1,0
230,3,1,0,1,0,0,1,2,2,0
231,1,1,0,3,0,1,0,3,3,1
232,3,0,0,2,1,0,0,2,0,0
233,2,0,0,2,1,0,0,4,1,0
234,3,1,0,1,0,0,1,1,3,1
235,2,0,0,2,1,0,0,2,1,0
236,3,1,0,1,1,0,0,2,0,0
237,2,0,0,2,0,1,0,3,2,0
238,2,1,0,1,0,1,0,1,2,1
239,2,0,0,2,1,0,0,2,1,0
240,2,0,0,2,1,0,0,3,1,0
241,3,1,1,1,0,1,0,2,2,0
242,3,1,2,1,0,1,0,2,2,1
243,2,0,0,2,1,0,0,2,1,0
244,3,0,0,2,1,0,0,2,0,0
245,3,0,1,2,1,0,0,2,0,0
246,1,0,2,5,0,1,0,3,3,0
247,3,1,0,1,1,0,0,2,0,0
248,2,1,0,3,0,1,0,2,2,1
249,1,0,0,2,0,1,0,3,3,1
250,2,0,0,5,0,1,0,4,2,0
251,3,0,0,2,1,0,0,3,0,0
252,3,1,0,3,0,1,0,2,1,0
253,1,0,0,2,1,0,0,4,2,0
254,3,0,0,2,0,1,0,2,2,0
255,3,1,0,3,0,1,0,3,2,0
256,3,1,1,3,0,1,0,2,2,1
257,1,1,1,3,1,0,0,3,3,1
258,1,1,0,1,1,0,0,2,3,1
259,1,1,1,1,1,0,0,3,3,1
260,2,1,0,3,0,1,0,4,2,1
261,3,0,2,2,1,0,0,3,0,0
262,3,0,0,0,0,0,1,1,3,1
263,1,0,0,2,0,1,0,4,3,0
264,1,0,0,2,1,0,0,3,0,0
265,3,1,2,1,1,0,0,2,0,0
266,2,0,0,2,1,0,0,3,1,0
267,3,0,0,2,0,0,1,1,3,0
268,3,0,0,2,0,1,0,2,0,1
269,1,1,0,3,0,1,0,4,3,1
270,1,1,0,1,1,0,0,3,3,1
271,1,0,0,2,1,0,0,3,2,0
272,3,0,0,2,1,0,0,2,0,1
273,2,1,0,3,0,1,0,3,2,1
274,1,0,1,2,0,1,0,3,2,0
275,3,1,2,1,1,0,0,2,0,1
276,1,1,0,1,0,1,0,4,3,1
277,3,1,0,1,1,0,0,3,0,0
278,2,0,0,2,1,0,0,3,0,0
279,3,0,2,0,0,0,1,1,2,0
280,3,1,0,3,0,1,0,3,2,1
281,3,0,2,2,1,0,0,5,0,0
282,3,0,0,2,1,0,0,2,0,0
283,3,0,0,2,1,0,0,1,1,0
284,3,0,0,2,1,0,0,2,1,1
285,1,0,0,2,1,0,0,3,2,0
286,3,0,1,2,1,0,0,3,1,0
287,3,0,0,2,1,0,0,2,1,1
288,3,0,0,2,1,0,0,2,0,0
289,2,0,0,2,1,0,0,3,1,1
290,3,1,2,1,1,0,0,2,0,1
291,1,1,0,1,1,0,0,2,3,1
292,1,1,1,3,0,1,0,2,3,1
293,2,0,1,2,1,0,0,3,1,0
294,3,1,0,1,1,0,0,2,1,0
295,3,0,0,2,1,0,0,2,0,0
296,1,0,1,2,1,0,0,3,2,0
297,3,0,1,2,1,0,0,2,0,0
298,1,1,0,1,0,0,1,1,3,0
299,1,0,0,2,1,0,0,3,2,1
300,1,1,1,3,0,1,0,4,3,1
301,3,1,2,1,1,0,0,2,0,1
302,3,0,2,2,0,1,0,3,2,1
303,3,0,0,2,1,0,0,2,0,0
304,2,1,2,1,1,0,0,2,1,1
305,3,0,0,2,1,0,0,3,1,0
306,1,0,0,0,0,0,1,0,3,1
307,1,1,1,1,1,0,0,2,3,1
308,1,1,1,3,0,1,0,2,3,1
309,2,0,1,2,0,1,0,2,2,0
310,1,1,1,1,1,0,0,2,3,1
311,1,1,1,1,1,0,0,2,3,1
312,1,1,1,1,0,0,1,2,3,1
313,2,1,0,3,0,1,0,2,2,0
314,3,0,0,2,1,0,0,2,0,0
315,2,0,0,2,0,1,0,3,2,0
316,3,1,0,1,1,0,0,2,0,1
317,2,1,0,3,0,1,0,2,2,1
318,2,0,0,5,1,0,0,4,1,0
319,1,1,0,1,0,1,0,2,3,1
320,1,1,1,3,0,1,0,3,3,1
321,3,0,0,2,1,0,0,2,0,0
322,3,0,0,2,1,0,0,2,0,0
323,2,1,2,1,1,0,0,2,1,1
324,2,1,0,3,0,1,0,2,2,1
325,3,0,0,2,0,0,1,3,3,0
326,1,1,1,1,1,0,0,3,3,1
327,3,0,0,2,1,0,0,4,0,0
328,2,1,0,3,1,0,0,3,1,1
329,3,1,0,3,0,1,0,2,2,1
330,1,1,1,1,0,1,0,1,3,1
331,3,1,2,1,0,1,0,2,2,1
332,1,0,0,2,1,0,0,3,2,0
333,1,0,0,2,0,1,0,3,3,0
334,3,0,0,2,0,1,0,1,2,0
335,1,1,0,3,0,1,0,3,3,1
336,3,0,0,2,1,0,0,3,0,0
337,1,0,0,2,0,1,0,2,3,0
338,1,1,1,1,1,0,0,3,3,1
339,3,0,0,2,1,0,0,3,1,1
340,1,0,0,2,1,0,0,3,3,0
341,2,0,0,0,0,1,0,1,2,1
342,1,1,0,1,0,0,1,2,3,1
343,2,0,0,2,1,0,0,2,1,0
344,2,0,0,2,1,0,0,2,1,0
345,2,0,0,2,1,0,0,3,1,0
346,2,1,0,1,1,0,0,2,1,1
347,2,1,0,1,1,0,0,3,1,1
348,3,1,0,3,0,1,0,3,2,1
349,3,0,0,0,0,1,0,1,2,1
350,3,0,0,2,1,0,0,3,1,0
351,3,0,0,2,1,0,0,2,1,0
352,1,0,0,2,1,0,0,3,3,0
353,3,0,1,2,0,1,0,1,0,0
354,3,0,0,2,0,1,0,2,2,0
355,3,0,1,2,1,0,0,3,0,0
356,3,0,0,2,1,0,0,2,1,0
357,1,1,0,1,0,1,0,2,3,1
358,2,1,0,1,1,0,0,3,1,0
359,3,1,2,1,1,0,0,2,0,1
360,3,1,2,1,1,0,0,2,0,1
361,3,0,0,2,0,0,1,3,2,0
362,2,0,1,2,0,1,0,2,2,0
363,3,1,1,3,0,1,0,3,2,0
364,3,0,0,2,1,0,0,3,0,0
365,3,0,2,2,0,1,0,3,2,0
366,3,0,0,2,1,0,0,2,0,0
367,1,1,1,3,0,1,0,4,3,1
368,3,1,1,3,1,0,0,3,0,1
369,3,1,2,1,1,0,0,2,0,1
370,1,1,1,1,1,0,0,2,3,1
371,1,0,1,2,0,1,0,2,3,1
372,3,0,0,2,0,1,0,2,0,0
373,3,0,0,2,1,0,0,2,1,0
374,1,0,1,2,1,0,0,2,3,0
375,3,1,0,1,0,0,1,1,2,0
376,1,1,1,3,0,1,0,3,3,1
377,3,1,0,1,1,0,0,2,0,1
378,1,0,1,2,0,1,0,2,3,0
379,3,0,1,2,1,0,0,2,0,0
380,3,0,0,2,1,0,0,2,0,0
381,1,1,1,1,1,0,0,3,3,1
382,3,1,1,1,0,1,0,0,2,1
383,3,0,0,2,1,0,0,2,1,0
384,1,1,0,3,0,1,0,3,3,1
385,3,0,0,2,1,0,0,3,0,0
386,2,0,0,2,1,0,0,2,3,0
387,3,0,0,0,0,0,1,0,3,0
388,2,1,0,1,1,0,0,3,1,1
389,3,0,2,2,1,0,0,3,0,0
390,2,1,1,1,1,0,0,2,1,1
391,1,0,0,2,0,0,1,3,3,1
392,3,0,0,2,1,0,0,2,0,1
393,3,0,0,2,0,1,0,2,1,0
394,1,1,1,1,0,1,0,2,3,1
395,3,1,0,3,0,1,0,2,2,1
396,3,0,0,2,1,0,0,2,0,0
397,3,1,0,1,1,0,0,2,0,0
398,2,0,0,2,1,0,0,3,2,0
399,2,0,0,5,1,0,0,2,1,0
400,2,1,0,3,1,0,0,2,1,1
401,3,0,0,2,1,0,0,3,1,1
402,3,0,0,2,1,0,0,2,1,0
403,3,1,0,1,0,1,0,2,1,0
404,3,0,0,2,0,1,0,2,2,0
405,3,1,0,1,1,0,0,2,1,0
406,2,0,0,2,0,1,0,3,2,0
407,3,0,0,2,1,0,0,4,0,0
408,2,0,0,0,0,1,0,1,2,1
409,3,0,0,2,1,0,0,2,0,0
410,3,1,0,1,0,0,1,2,2,0
411,3,0,0,2,1,0,0,3,0,0
412,3,0,2,2,1,0,0,3,0,0
413,1,1,2,1,0,1,0,3,3,1
414,2,0,0,2,1,0,0,3,0,0
415,3,0,0,2,1,0,0,3,1,1
416,3,1,0,3,1,0,0,3,1,0
417,2,1,0,3,0,1,0,3,3,1
418,2,1,0,1,0,1,0,2,1,1
419,2,0,0,2,1,0,0,2,1,0
420,3,1,0,1,0,1,0,1,2,0
421,3,0,1,2,1,0,0,3,0,0
422,3,0,2,2,1,0,0,2,0,0
423,3,0,0,2,1,0,0,2,0,0
424,3,1,0,3,0,1,0,2,1,0
425,3,0,0,2,0,1,0,2,2,0
426,3,0,0,2,1,0,0,3,0,0
427,2,1,0,3,0,1,0,2,2,1
428,2,1,0,1,1,0,0,2,2,1
429,3,0,2,2,1,0,0,3,0,0
430,3,0,0,2,1,0,0,2,1,1
431,1,0,0,2,1,0,0,2,2,1
432,3,1,0,3,0,1,0,3,2,1
433,2,1,0,3,0,1,0,3,2,1
434,3,0,0,2,1,0,0,2,0,0
435,1,0,0,2,0,1,0,4,3,0
436,1,1,0,1,0,0,1,1,3,1
437,3,1,0,1,0,0,1,2,3,0
438,2,1,0,3,0,0,1,2,2,1
439,1,0,0,2,0,0,1,4,3,0
440,2,0,0,2,1,0,0,2,1,0
441,2,1,0,3,0,1,0,3,2,1
442,3,0,0,2,1,0,0,2,1,0
443,3,0,0,2,0,1,0,2,0,0
444,2,1,0,1,1,0,0,2,1,1
445,3,0,0,2,1,0,0,3,1,1
446,1,0,0,0,0,1,0,1,3,1
447,2,1,0,1,0,1,0,1,2,1
448,1,0,0,2,1,0,0,3,2,1
449,3,1,1,1,0,0,1,1,2,1
450,1,0,0,5,1,0,0,4,2,1
451,2,0,0,2,0,0,1,3,2,0
452,3,0,0,2,0,1,0,3,2,0
453,1,0,1,2,1,0,0,2,2,0
454,1,0,1,2,0,1,0,4,3,1
455,3,0,0,2,1,0,0,3,1,0
456,3,0,1,2,1,0,0,2,0,1
457,1,0,0,2,1,0,0,5,2,0
458,1,1,0,3,0,1,0,3,3,1
459,2,1,0,1,1,0,0,4,1,1
460,3,0,2,2,1,0,0,3,0,0
461,1,0,0,2,1,0,0,3,2,1
462,3,0,0,2,1,0,0,3,1,0
463,1,0,0,2,1,0,0,3,3,0
464,2,0,0,2,1,0,0,3,1,0
465,3,0,0,2,1,0,0,3,1,0
466,3,0,0,2,1,0,0,3,0,0
467,2,0,0,2,1,0,0,3,0,0
468,1,0,0,2,1,0,0,4,2,0
469,3,0,2,2,1,0,0,3,0,0
470,3,1,1,1,0,0,1,0,2,1
471,3,0,0,2,1,0,0,3,0,0
472,3,0,0,2,1,0,0,3,1,0
473,2,1,0,3,0,0,1,3,2,1
474,2,1,1,3,1,0,0,2,1,1
475,3,1,0,1,1,0,0,2,1,0
476,1,0,0,2,1,0,0,3,3,0
477,2,0,0,2,0,1,0,3,2,0
478,3,0,0,2,0,1,0,2,0,0
479,3,0,0,2,1,0,0,2,0,0
480,3,1,0,1,0,1,0,1,1,1
481,3,0,0,0,0,0,1,1,3,0
482,2,0,0,2,1,0,0,3,0,0
483,3,0,0,2,1,0,0,4,1,0
484,3,1,0,3,1,0,0,4,1,1
485,1,0,1,2,0,1,0,2,3,1
486,3,1,0,1,0,0,1,2,2,0
487,1,1,0,3,0,1,0,3,3,1
488,1,0,1,2,1,0,0,4,2,0
489,3,0,0,2,1,0,0,2,1,0
490,3,0,0,0,0,1,0,1,2,1
491,3,0,0,2,0,1,0,3,2,0
492,3,0,0,2,1,0,0,2,0,0
493,1,0,0,2,1,0,0,4,2,0
494,1,0,1,2,1,0,0,5,3,0
495,3,0,0,2,1,0,0,2,1,0
496,3,0,1,2,1,0,0,3,2,0
497,1,1,1,1,0,1,0,4,3,1
498,3,0,0,2,1,0,0,3,2,0
499,1,1,0,3,0,0,1,2,3,0
500,3,0,0,2,1,0,0,2,0,0
501,3,0,0,2,1,0,0,2,1,0
502,3,1,2,1,1,0,0,2,0,0
503,3,1,2,1,1,0,0,2,0,0
504,3,1,0,1,1,0,0,3,1,0
505,1,1,0,1,1,0,0,1,3,1
506,1,0,1,2,0,1,0,2,3,0
507,2,1,0,3,0,1,0,3,2,1
508,1,0,0,2,1,0,0,3,2,1
509,3,0,0,2,1,0,0,2,2,0
510,3,0,0,2,1,0,0,2,3,1
511,3,0,2,2,1,0,0,2,0,1
512,3,0,0,2,1,0,0,3,1,0
513,1,0,0,2,1,0,0,3,2,1
514,1,1,1,3,0,1,0,4,3,1
515,3,0,0,2,1,0,0,2,0,0
516,1,0,0,2,1,0,0,3,3,0
517,2,1,0,3,1,0,0,3,1,1
518,3,0,2,2,1,0,0,3,2,0
519,2,1,0,3,0,1,0,3,2,1
520,3,0,0,2,1,0,0,2,0,0
521,1,1,0,1,1,0,0,2,3,1
522,3,0,0,2,1,0,0,2,0,0
523,3,0,1,2,1,0,0,3,0,0
524,1,1,1,3,0,1,0,3,3,1
525,3,0,1,2,1,0,0,3,0,0
526,3,0,2,2,1,0,0,3,0,0
527,2,1,0,1,1,0,0,4,1,1
528,1,0,0,2,1,0,0,3,3,0
529,3,0,0,2,1,0,0,3,1,0
530,2,0,0,2,0,0,1,2,1,0
531,2,1,0,1,0,1,0,1,2,1
532,3,0,1,2,1,0,0,3,0,0
533,3,0,1,2,0,1,0,2,0,0
534,3,1,1,3,0,1,0,3,2,1
535,3,1,0,1,1,0,0,2,1,0
536,2,1,0,1,0,1,0,1,2,1
537,1,0,0,5,1,0,0,3,2,0
538,1,1,1,1,1,0,0,2,3,1
539,3,0,0,2,1,0,0,3,2,0
540,1,1,1,1,0,1,0,2,3,1
541,1,1,0,1,0,1,0,3,3,1
542,3,1,0,1,0,0,1,1,2,0
543,3,1,0,1,0,0,1,1,2,0
544,2,0,0,2,0,1,0,2,2,1
545,1,0,1,2,0,1,0,4,3,0
546,1,0,0,2,1,0,0,4,2,0
547,2,1,0,3,0,1,0,2,2,1
548,2,0,1,2,1,0,0,3,1,1
549,3,0,0,2,0,1,0,3,2,0
550,2,0,0,0,0,1,0,1,3,1
551,1,0,1,2,0,1,0,2,3,1
552,2,0,0,2,1,0,0,2,2,0
553,3,0,2,2,1,0,0,3,0,0
554,3,0,1,2,1,0,0,2,0,1
555,3,1,0,1,1,0,0,2,0,1
556,1,0,0,2,1,0,0,4,2,0
557,1,1,1,4,0,1,0,3,3,1
558,1,0,1,2,1,0,0,3,3,0
559,1,1,0,3,0,1,0,3,3,1
560,3,1,0,3,0,1,0,3,2,1
561,3,0,2,2,1,0,0,3,0,0
562,3,0,0,2,1,0,0,3,0,0
563,2,0,0,2,1,0,0,2,1,0
564,3,0,0,2,1,0,0,3,1,0
565,3,1,0,1,1,0,0,2,1,0
566,3,0,0,2,0,1,0,2,2,0
567,3,0,0,2,1,0,0,2,0,0
568,3,1,0,3,0,0,1,2,2,0
569,3,0,1,2,1,0,0,3,0,0
570,3,0,0,2,1,0,0,2,0,1
571,2,0,0,2,1,0,0,4,1,1
572,1,1,0,3,0,1,0,4,3,1
573,1,0,0,2,1,0,0,3,2,1
574,3,1,2,1,1,0,0,2,0,1
575,3,0,0,2,1,0,0,1,1,0
576,3,0,0,2,1,0,0,2,2,0
577,2,1,0,1,1,0,0,3,1,1
578,1,1,0,3,0,1,0,3,3,1
579,3,1,1,3,0,1,0,3,2,0
580,3,0,0,2,1,0,0,2,1,1
581,2,1,0,1,0,1,0,2,2,1
582,1,1,1,3,0,1,0,3,3,1
583,2,0,0,2,1,0,0,4,2,0
584,1,0,1,2,1,0,0,3,3,0
585,3,0,1,2,1,0,0,3,1,0
586,1,1,0,1,0,1,0,2,3,1
587,2,0,0,2,1,0,0,3,2,0
588,1,0,1,2,0,1,0,4,3,1
589,3,0,0,2,1,0,0,2,1,0
590,3,0,0,2,1,0,0,3,1,0
591,3,0,0,2,1,0,0,3,0,0
592,1,1,1,3,0,1,0,4,3,1
593,3,0,0,2,1,0,0,3,0,0
594,3,1,2,1,0,1,0,2,0,0
595,2,0,0,2,0,1,0,3,2,0
596,3,0,0,2,0,1,0,3,2,0
597,2,1,0,1,1,0,0,2,3,1
598,3,0,0,2,1,0,0,4,0,0
599,3,0,1,2,1,0,0,3,0,0
600,1,0,1,4,0,1,0,4,3,1
601,2,1,0,3,0,0,1,2,2,1
602,3,0,0,2,1,0,0,3,0,0
603,1,0,0,2,1,0,0,3,3,0
604,3,0,0,2,1,0,0,3,1,0
605,1,0,1,2,1,0,0,3,2,1
606,3,0,0,2,0,1,0,3,2,0
607,3,0,0,2,1,0,0,2,0,0
608,1,0,0,2,1,0,0,2,2,1
609,2,1,1,3,0,0,1,2,3,1
610,1,1,0,1,1,0,0,3,3,1
611,3,1,0,3,0,0,1,3,2,0
612,3,0,0,2,1,0,0,3,0,0
613,3,1,2,1,0,1,0,2,2,1
614,3,0,2,2,1,0,0,3,0,0
615,3,0,0,2,1,0,0,3,1,0
616,2,1,0,1,0,0,1,2,3,1
617,3,0,0,2,0,1,0,3,1,0
618,3,1,0,3,0,1,0,2,2,0
619,2,1,0,1,0,0,1,1,3,1
620,2,0,0,2,1,0,0,2,1,0
621,3,0,1,2,0,1,0,2,2,0
622,1,0,0,2,0,1,0,3,3,1
623,3,0,1,2,0,1,0,2,2,1
624,3,0,0,2,1,0,0,2,0,0
625,3,0,0,2,1,0,0,2,2,0
626,1,0,0,2,1,0,0,4,3,0
627,2,0,2,5,1,0,0,4,1,0
628,1,1,0,1,1,0,0,2,3,1
629,3,0,0,2,1,0,0,2,0,0
630,3,0,2,2,1,0,0,3,0,0
631,1,0,0,2,1,0,0,5,2,1
