PassengerId,Sex,Age,SibSp,Parch,Fare,Cabin,FamilySize,is_alone,Pclass_1,Pclass_2,Pclass_3,genTitle_Master,genTitle_Miss,genTitle_Mr,genTitle_Mrs,genTitle_Nobility,genTitle_Officer,genTitle_Professionals,normFare,Survived
28,0,19,3,2,263,C,6,0,1,0,0,0,0,1,0,0,0,0,5.575949103,0
29,1,18,0,0,7.8792,U,1,1,0,0,1,0,1,0,0,0,0,0,2.183711463,1
30,0,26,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
31,0,40,0,0,27.7208,U,1,1,1,0,0,0,0,0,0,1,0,0,3.357621599,0
32,1,45,1,0,146.5208,B,2,0,1,0,0,0,0,0,1,0,0,0,4.993969183,1
33,1,18,0,0,7.75,U,1,1,0,0,1,0,1,0,0,0,0,0,2.1690537,1
34,0,66,0,0,10.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.442347035,0
35,0,28,1,0,82.1708,U,2,0,1,0,0,0,0,1,0,0,0,0,4.420896325,0
36,0,42,1,0,52,U,2,0,1,0,0,0,0,1,0,0,0,0,3.970291914,0
37,0,26,0,0,7.2292,U,1,1,0,0,1,0,0,1,0,0,0,0,2.107688805,1
38,0,21,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
39,1,18,2,0,18,U,3,0,0,0,1,0,1,0,0,0,0,0,2.944438979,0
40,1,14,1,0,11.2417,U,2,0,0,0,1,0,1,0,0,0,0,0,2.504848156,1
41,1,40,1,0,9.475,U,2,0,0,0,1,0,0,0,1,0,0,0,2.348991466,0
42,1,27,1,0,21,U,2,0,0,1,0,0,0,0,1,0,0,0,3.091042453,0
43,0,26,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
44,1,3,1,2,41.5792,U,4,0,0,1,0,0,1,0,0,0,0,0,3.751365871,1
45,1,19,0,0,7.8792,U,1,1,0,0,1,0,1,0,0,0,0,0,2.183711463,1
46,0,26,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
47,0,26,1,0,15.5,U,2,0,0,0,1,0,0,1,0,0,0,0,2.803360381,0
48,1,18,0,0,7.75,U,1,1,0,0,1,0,1,0,0,0,0,0,2.1690537,1
49,0,26,2,0,21.6792,U,3,0,0,0,1,0,0,1,0,0,0,0,3.121448205,0
50,1,18,1,0,17.8,U,2,0,0,0,1,0,0,0,1,0,0,0,2.93385687,0
51,0,7,4,1,39.6875,U,6,0,0,0,1,1,0,0,0,0,0,0,3.70592092,0
52,0,21,0,0,7.8,U,1,1,0,0,1,0,0,1,0,0,0,0,2.174751721,0
53,1,49,1,0,76.7292,D,2,0,1,0,0,0,0,0,1,0,0,0,4.353230991,1
54,1,29,1,0,26,U,2,0,0,1,0,0,0,0,1,0,0,0,3.295836866,1
55,0,65,0,1,61.9792,B,2,0,1,0,0,0,0,1,0,0,0,0,4.142804513,0
56,0,41.5,0,0,35.5,C,1,1,1,0,0,0,0,1,0,0,0,0,3.597312261,1
57,1,21,0,0,10.5,U,1,1,0,1,0,0,1,0,0,0,0,0,2.442347035,1
58,0,28.5,0,0,7.2292,U,1,1,0,0,1,0,0,1,0,0,0,0,2.107688805,0
59,1,5,1,2,27.75,U,4,0,0,1,0,0,1,0,0,0,0,0,3.358637767,1
60,0,11,5,2,46.9,U,8,0,0,0,1,1,0,0,0,0,0,0,3.869115504,0
61,0,22,0,0,7.2292,U,1,1,0,0,1,0,0,1,0,0,0,0,2.107688805,0
62,1,38,0,0,80,B,1,1,1,0,0,0,1,0,0,0,0,0,4.394449155,1
63,0,45,1,0,83.475,C,2,0,1,0,0,0,0,1,0,0,0,0,4.436455633,0
64,0,4,3,2,27.9,U,6,0,0,0,1,1,0,0,0,0,0,0,3.363841595,0
65,0,41.5,0,0,27.7208,U,1,1,1,0,0,0,0,1,0,0,0,0,3.357621599,0
66,0,6,1,1,15.2458,U,3,0,0,0,1,1,0,0,0,0,0,0,2.787834414,1
67,1,29,0,0,10.5,F,1,1,0,1,0,0,0,0,1,0,0,0,2.442347035,1
68,0,19,0,0,8.1583,U,1,1,0,0,1,0,0,1,0,0,0,0,2.214660572,0
69,1,17,4,2,7.925,U,7,0,0,0,1,0,1,0,0,0,0,0,2.188856328,1
70,0,26,2,0,8.6625,U,3,0,0,0,1,0,0,1,0,0,0,0,2.268252414,0
71,0,32,0,0,10.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.442347035,0
72,1,16,5,2,46.9,U,8,0,0,0,1,0,1,0,0,0,0,0,3.869115504,0
73,0,21,0,0,73.5,U,1,1,0,1,0,0,0,1,0,0,0,0,4.310799125,0
74,0,26,1,0,14.4542,U,2,0,0,0,1,0,0,1,0,0,0,0,2.737880811,0
75,0,32,0,0,56.4958,U,1,1,0,0,1,0,0,1,0,0,0,0,4.051711902,1
76,0,25,0,0,7.65,F,1,1,0,0,1,0,0,1,0,0,0,0,2.157559321,0
77,0,26,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
78,0,26,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
79,0,0.83,0,2,29,U,3,0,0,1,0,1,0,0,0,0,0,0,3.401197382,1
80,1,30,0,0,12.475,U,1,1,0,0,1,0,1,0,0,0,0,0,2.600836117,1
81,0,22,0,0,9,U,1,1,0,0,1,0,0,1,0,0,0,0,2.302585093,0
82,0,29,0,0,9.5,U,1,1,0,0,1,0,0,1,0,0,0,0,2.351375257,1
83,1,18,0,0,7.7875,U,1,1,0,0,1,0,1,0,0,0,0,0,2.173330257,1
84,0,28,0,0,47.1,U,1,1,1,0,0,0,0,1,0,0,0,0,3.873282177,0
85,1,17,0,0,10.5,U,1,1,0,1,0,0,1,0,0,0,0,0,2.442347035,1
86,1,33,3,0,15.85,U,4,0,0,0,1,0,0,0,1,0,0,0,2.824350657,1
87,0,16,1,3,34.375,U,5,0,0,0,1,0,0,1,0,0,0,0,3.566005356,0
88,0,26,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
89,1,23,3,2,263,C,6,0,1,0,0,0,1,0,0,0,0,0,5.575949103,1
90,0,24,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
91,0,29,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
92,0,20,0,0,7.8542,U,1,1,0,0,1,0,0,1,0,0,0,0,2.180891923,0
93,0,46,1,0,61.175,E,2,0,1,0,0,0,0,1,0,0,0,0,4.12995299,0
94,0,26,1,2,20.575,U,4,0,0,0,1,0,0,1,0,0,0,0,3.071535237,0
95,0,59,0,0,7.25,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1102132,0
96,0,26,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
97,0,71,0,0,34.6542,A,1,1,1,0,0,0,0,1,0,0,0,0,3.573866952,0
98,0,23,0,1,63.3583,D,2,0,1,0,0,0,0,1,0,0,0,0,4.164465908,1
99,1,34,0,1,23,U,2,0,0,1,0,0,0,0,1,0,0,0,3.17805383,1
100,0,34,1,0,26,U,2,0,0,1,0,0,0,1,0,0,0,0,3.295836866,0
101,1,28,0,0,7.8958,U,1,1,0,0,1,0,1,0,0,0,0,0,2.185579255,0
102,0,26,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
103,0,21,0,1,77.2875,D,2,0,1,0,0,0,0,1,0,0,0,0,4.360387948,0
104,0,33,0,0,8.6542,U,1,1,0,0,1,0,0,1,0,0,0,0,2.267393054,0
105,0,37,2,0,7.925,U,3,0,0,0,1,0,0,1,0,0,0,0,2.188856328,0
106,0,28,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
107,1,21,0,0,7.65,U,1,1,0,0,1,0,1,0,0,0,0,0,2.157559321,1
108,0,26,0,0,7.775,U,1,1,0,0,1,0,0,1,0,0,0,0,2.171906769,1
109,0,38,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
110,1,18,1,0,24.15,U,2,0,0,0,1,0,1,0,0,0,0,0,3.224857897,1
111,0,47,0,0,52,C,1,1,1,0,0,0,0,1,0,0,0,0,3.970291914,0
112,1,14.5,1,0,14.4542,U,2,0,0,0,1,0,1,0,0,0,0,0,2.737880811,0
113,0,22,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
114,1,20,1,0,9.825,U,2,0,0,0,1,0,1,0,0,0,0,0,2.381858274,0
115,1,17,0,0,14.4583,U,1,1,0,0,1,0,1,0,0,0,0,0,2.738146076,0
116,0,21,0,0,7.925,U,1,1,0,0,1,0,0,1,0,0,0,0,2.188856328,0
117,0,70.5,0,0,7.75,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1690537,0
118,0,29,1,0,21,U,2,0,0,1,0,0,0,1,0,0,0,0,3.091042453,0
119,0,24,0,1,247.5208,B,2,0,1,0,0,0,0,1,0,0,0,0,5.515526544,0
120,1,2,4,2,31.275,U,7,0,0,0,1,0,1,0,0,0,0,0,3.474292937,0
121,0,21,2,0,73.5,U,3,0,0,1,0,0,0,1,0,0,0,0,4.310799125,0
122,0,26,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
123,0,32.5,1,0,30.0708,U,2,0,0,1,0,0,0,1,0,0,0,0,3.436268471,0
124,1,32.5,0,0,13,E,1,1,0,1,0,0,1,0,0,0,0,0,2.63905733,1
125,0,54,0,1,77.2875,D,2,0,1,0,0,0,0,1,0,0,0,0,4.360387948,0
126,0,12,1,0,11.2417,U,2,0,0,0,1,1,0,0,0,0,0,0,2.504848156,1
127,0,26,0,0,7.75,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1690537,0
128,0,24,0,0,7.1417,U,1,1,0,0,1,0,0,1,0,0,0,0,2.096999003,1
129,1,18,1,1,22.3583,F,3,0,0,0,1,0,1,0,0,0,0,0,3.150952381,1
130,0,45,0,0,6.975,U,1,1,0,0,1,0,0,1,0,0,0,0,2.076311649,0
131,0,33,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
132,0,20,0,0,7.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.085672091,0
133,1,47,1,0,14.5,U,2,0,0,0,1,0,0,0,1,0,0,0,2.740840024,0
134,1,29,1,0,26,U,2,0,0,1,0,0,0,0,1,0,0,0,3.295836866,1
135,0,25,0,0,13,U,1,1,0,1,0,0,0,1,0,0,0,0,2.63905733,0
136,0,23,0,0,15.0458,U,1,1,0,1,0,0,0,1,0,0,0,0,2.775447133,0
137,1,19,0,2,26.2833,D,3,0,1,0,0,0,1,0,0,0,0,0,3.306274793,1
138,0,37,1,0,53.1,C,2,0,1,0,0,0,0,1,0,0,0,0,3.990834186,0
139,0,16,0,0,9.2167,U,1,1,0,0,1,0,0,1,0,0,0,0,2.324023636,0
140,0,24,0,0,79.2,B,1,1,1,0,0,0,0,1,0,0,0,0,4.384523515,0
141,1,31,0,2,15.2458,U,3,0,0,0,1,0,0,0,1,0,0,0,2.787834414,0
142,1,22,0,0,7.75,U,1,1,0,0,1,0,1,0,0,0,0,0,2.1690537,1
143,1,24,1,0,15.85,U,2,0,0,0,1,0,0,0,1,0,0,0,2.824350657,1
144,0,19,0,0,6.75,U,1,1,0,0,1,0,0,1,0,0,0,0,2.047692843,0
145,0,18,0,0,11.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.525728644,0
146,0,19,1,1,36.75,U,3,0,0,1,0,0,0,1,0,0,0,0,3.630985476,0
147,0,27,0,0,7.7958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.174274335,1
148,1,9,2,2,34.375,U,5,0,0,0,1,0,1,0,0,0,0,0,3.566005356,0
149,0,36.5,0,2,26,F,3,0,0,1,0,0,0,1,0,0,0,0,3.295836866,0
150,0,42,0,0,13,U,1,1,0,1,0,0,0,0,0,0,0,1,2.63905733,0
151,0,51,0,0,12.525,U,1,1,0,1,0,0,0,0,0,0,0,1,2.604539825,0
152,1,22,1,0,66.6,C,2,0,1,0,0,0,0,0,1,0,0,0,4.213607983,1
153,0,55.5,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
154,0,40.5,0,2,14.5,U,3,0,0,0,1,0,0,1,0,0,0,0,2.740840024,0
155,0,26,0,0,7.3125,U,1,1,0,0,1,0,0,1,0,0,0,0,2.117760406,0
156,0,51,0,1,61.3792,U,2,0,1,0,0,0,0,1,0,0,0,0,4.133231886,0
157,1,16,0,0,7.7333,U,1,1,0,0,1,0,1,0,0,0,0,0,2.167143305,1
158,0,30,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
159,0,26,0,0,8.6625,U,1,1,0,0,1,0,0,1,0,0,0,0,2.268252414,0
160,0,6,8,2,69.55,U,11,0,0,0,1,1,0,0,0,0,0,0,4.256321678,0
161,0,44,0,1,16.1,U,2,0,0,0,1,0,0,1,0,0,0,0,2.839078464,0
162,1,40,0,0,15.75,U,1,1,0,1,0,0,0,0,1,0,0,0,2.818398258,1
163,0,26,0,0,7.775,U,1,1,0,0,1,0,0,1,0,0,0,0,2.171906769,0
164,0,17,0,0,8.6625,U,1,1,0,0,1,0,0,1,0,0,0,0,2.268252414,0
165,0,1,4,1,39.6875,U,6,0,0,0,1,1,0,0,0,0,0,0,3.70592092,0
166,0,9,0,2,20.525,U,3,0,0,0,1,1,0,0,0,0,0,0,3.06921505,1
167,1,45,0,1,55,E,2,0,1,0,0,0,0,0,1,0,0,0,4.025351691,1
168,1,45,1,4,27.9,U,6,0,0,0,1,0,0,0,1,0,0,0,3.363841595,0
169,0,41.5,0,0,25.925,U,1,1,1,0,0,0,0,1,0,0,0,0,3.293055223,0
170,0,28,0,0,56.4958,U,1,1,0,0,1,0,0,1,0,0,0,0,4.051711902,0
171,0,61,0,0,33.5,B,1,1,1,0,0,0,0,1,0,0,0,0,3.540959324,0
172,0,4,4,1,29.125,U,6,0,0,0,1,1,0,0,0,0,0,0,3.405355392,0
173,1,1,1,1,11.1333,U,3,0,0,0,1,0,1,0,0,0,0,0,2.495953739,1
174,0,21,0,0,7.925,U,1,1,0,0,1,0,0,1,0,0,0,0,2.188856328,0
175,0,56,0,0,30.6958,A,1,1,1,0,0,0,0,1,0,0,0,0,3.45618418,0
176,0,18,1,1,7.8542,U,3,0,0,0,1,0,0,1,0,0,0,0,2.180891923,0
177,0,6,3,1,25.4667,U,5,0,0,0,1,1,0,0,0,0,0,0,3.275887339,0
178,1,50,0,0,28.7125,C,1,1,1,0,0,0,1,0,0,0,0,0,3.391567833,0
179,0,30,0,0,13,U,1,1,0,1,0,0,0,1,0,0,0,0,2.63905733,0
180,0,36,0,0,0,U,1,1,0,0,1,0,0,1,0,0,0,0,0,0
181,1,18,8,2,69.55,U,11,0,0,0,1,0,1,0,0,0,0,0,4.256321678,0
182,0,30,0,0,15.05,U,1,1,0,1,0,0,0,1,0,0,0,0,2.77570885,0
183,0,9,4,2,31.3875,U,7,0,0,0,1,1,0,0,0,0,0,0,3.477772546,0
184,0,1,2,1,39,F,4,0,0,1,0,1,0,0,0,0,0,0,3.688879454,1
185,1,4,0,2,22.025,U,3,0,0,0,1,0,1,0,0,0,0,0,3.136580582,1
186,0,41.5,0,0,50,A,1,1,1,0,0,0,0,1,0,0,0,0,3.931825633,0
187,1,31,1,0,15.5,U,2,0,0,0,1,0,0,0,1,0,0,0,2.803360381,1
188,0,45,0,0,26.55,U,1,1,1,0,0,0,0,1,0,0,0,0,3.316002536,1
189,0,40,1,1,15.5,U,3,0,0,0,1,0,0,1,0,0,0,0,2.803360381,0
190,0,36,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
191,1,32,0,0,13,U,1,1,0,1,0,0,0,0,1,0,0,0,2.63905733,1
192,0,19,0,0,13,U,1,1,0,1,0,0,0,1,0,0,0,0,2.63905733,0
193,1,19,1,0,7.8542,U,2,0,0,0,1,0,1,0,0,0,0,0,2.180891923,1
194,0,3,1,1,26,F,3,0,0,1,0,1,0,0,0,0,0,0,3.295836866,1
195,1,44,0,0,27.7208,B,1,1,1,0,0,0,0,0,1,0,0,0,3.357621599,1
196,1,58,0,0,146.5208,B,1,1,1,0,0,0,1,0,0,0,0,0,4.993969183,1
197,0,26,0,0,7.75,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1690537,0
198,0,42,0,1,8.4042,U,2,0,0,0,1,0,0,1,0,0,0,0,2.241156398,0
199,1,18,0,0,7.75,U,1,1,0,0,1,0,1,0,0,0,0,0,2.1690537,1
200,1,24,0,0,13,U,1,1,0,1,0,0,1,0,0,0,0,0,2.63905733,0
201,0,28,0,0,9.5,U,1,1,0,0,1,0,0,1,0,0,0,0,2.351375257,0
202,0,26,8,2,69.55,U,11,0,0,0,1,0,0,1,0,0,0,0,4.256321678,0
203,0,34,0,0,6.4958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.014342864,0
204,0,45.5,0,0,7.225,U,1,1,0,0,1,0,0,1,0,0,0,0,2.107178297,0
205,0,18,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,1
206,1,2,0,1,10.4625,G,2,0,0,0,1,0,1,0,0,0,0,0,2.439080838,0
207,0,32,1,0,15.85,U,2,0,0,0,1,0,0,1,0,0,0,0,2.824350657,0
208,0,26,0,0,18.7875,U,1,1,0,0,1,0,0,1,0,0,0,0,2.985050425,1
209,1,16,0,0,7.75,U,1,1,0,0,1,0,1,0,0,0,0,0,2.1690537,1
210,0,40,0,0,31,A,1,1,1,0,0,0,0,1,0,0,0,0,3.465735903,1
211,0,24,0,0,7.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.085672091,0
212,1,35,0,0,21,U,1,1,0,1,0,0,1,0,0,0,0,0,3.091042453,1
213,0,22,0,0,7.25,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1102132,0
214,0,30,0,0,13,U,1,1,0,1,0,0,0,1,0,0,0,0,2.63905733,0
215,0,26,1,0,7.75,U,2,0,0,0,1,0,0,1,0,0,0,0,2.1690537,0
216,1,31,1,0,113.275,D,2,0,1,0,0,0,1,0,0,0,0,0,4.738607824,1
217,1,27,0,0,7.925,U,1,1,0,0,1,0,1,0,0,0,0,0,2.188856328,1
218,0,42,1,0,27,U,2,0,0,1,0,0,0,1,0,0,0,0,3.33220451,0
219,1,32,0,0,76.2917,D,1,1,1,0,0,0,1,0,0,0,0,0,4.347586576,1
220,0,30,0,0,10.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.442347035,0
221,0,16,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,1
222,0,27,0,0,13,U,1,1,0,1,0,0,0,1,0,0,0,0,2.63905733,0
223,0,51,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,0
224,0,26,0,0,7.8958,U,1,1,0,0,1,0,0,1,0,0,0,0,2.185579255,0
225,0,38,1,0,90,C,2,0,1,0,0,0,0,1,0,0,0,0,4.510859507,1
226,0,22,0,0,9.35,U,1,1,0,0,1,0,0,1,0,0,0,0,2.33698652,0
227,0,19,0,0,10.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.442347035,1
228,0,20.5,0,0,7.25,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1102132,0
229,0,18,0,0,13,U,1,1,0,1,0,0,0,1,0,0,0,0,2.63905733,0
230,1,18,3,1,25.4667,U,5,0,0,0,1,0,1,0,0,0,0,0,3.275887339,0
231,1,35,1,0,83.475,C,2,0,1,0,0,0,0,0,1,0,0,0,4.436455633,1
232,0,29,0,0,7.775,U,1,1,0,0,1,0,0,1,0,0,0,0,2.171906769,0
233,0,59,0,0,13.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.674148649,0
234,1,5,4,2,31.3875,U,7,0,0,0,1,0,1,0,0,0,0,0,3.477772546,1
235,0,24,0,0,10.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.442347035,0
236,1,18,0,0,7.55,U,1,1,0,0,1,0,1,0,0,0,0,0,2.145931283,0
237,0,44,1,0,26,U,2,0,0,1,0,0,0,1,0,0,0,0,3.295836866,0
238,1,8,0,2,26.25,U,3,0,0,1,0,0,1,0,0,0,0,0,3.305053521,1
239,0,19,0,0,10.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.442347035,0
240,0,33,0,0,12.275,U,1,1,0,1,0,0,0,1,0,0,0,0,2.585882567,0
241,1,18,1,0,14.4542,U,2,0,0,0,1,0,1,0,0,0,0,0,2.737880811,0
242,1,18,1,0,15.5,U,2,0,0,0,1,0,1,0,0,0,0,0,2.803360381,1
243,0,29,0,0,10.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.442347035,0
244,0,22,0,0,7.125,U,1,1,0,0,1,0,0,1,0,0,0,0,2.094945728,0
245,0,30,0,0,7.225,U,1,1,0,0,1,0,0,1,0,0,0,0,2.107178297,0
246,0,44,2,0,90,C,3,0,1,0,0,0,0,0,0,0,0,1,4.510859507,0
247,1,25,0,0,7.775,U,1,1,0,0,1,0,1,0,0,0,0,0,2.171906769,0
248,1,24,0,2,14.5,U,3,0,0,1,0,0,0,0,1,0,0,0,2.740840024,1
249,0,37,1,1,52.5542,D,3,0,1,0,0,0,0,1,0,0,0,0,3.980694225,1
250,0,54,1,0,26,U,2,0,0,1,0,0,0,0,0,0,0,1,3.295836866,0
251,0,26,0,0,7.25,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1102132,0
252,1,29,1,1,10.4625,G,3,0,0,0,1,0,0,0,1,0,0,0,2.439080838,0
253,0,62,0,0,26.55,C,1,1,1,0,0,0,0,1,0,0,0,0,3.316002536,0
254,0,30,1,0,16.1,U,2,0,0,0,1,0,0,1,0,0,0,0,2.839078464,0
255,1,41,0,2,20.2125,U,3,0,0,0,1,0,0,0,1,0,0,0,3.054590631,0
256,1,29,0,2,15.2458,U,3,0,0,0,1,0,0,0,1,0,0,0,2.787834414,1
257,1,45,0,0,79.2,U,1,1,1,0,0,0,0,0,1,0,0,0,4.384523515,1
258,1,30,0,0,86.5,B,1,1,1,0,0,0,1,0,0,0,0,0,4.471638793,1
259,1,35,0,0,93.5,U,1,1,1,0,0,0,1,0,0,0,0,0,4.548599834,1
260,1,50,0,1,26,U,2,0,0,1,0,0,0,0,1,0,0,0,3.295836866,1
261,0,26,0,0,7.75,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1690537,0
262,0,3,4,2,31.3875,U,7,0,0,0,1,1,0,0,0,0,0,0,3.477772546,1
263,0,52,1,1,79.65,E,3,0,1,0,0,0,0,1,0,0,0,0,4.390118805,0
264,0,40,0,0,0,B,1,1,1,0,0,0,0,1,0,0,0,0,0,0
265,1,18,0,0,7.75,U,1,1,0,0,1,0,1,0,0,0,0,0,2.1690537,0
266,0,36,0,0,10.5,U,1,1,0,1,0,0,0,1,0,0,0,0,2.442347035,0
267,0,16,4,1,39.6875,U,6,0,0,0,1,0,0,1,0,0,0,0,3.70592092,0
268,0,25,1,0,7.775,U,2,0,0,0,1,0,0,1,0,0,0,0,2.171906769,1
269,1,58,0,1,153.4625,C,2,0,1,0,0,0,0,0,1,0,0,0,5.039951348,1
270,1,35,0,0,135.6333,C,1,1,1,0,0,0,1,0,0,0,0,0,4.917300695,1
271,0,41.5,0,0,31,U,1,1,1,0,0,0,0,1,0,0,0,0,3.465735903,0
272,0,25,0,0,0,U,1,1,0,0,1,0,0,1,0,0,0,0,0,1
273,1,41,0,1,19.5,U,2,0,0,1,0,0,0,0,1,0,0,0,3.020424886,1
274,0,37,0,1,29.7,C,2,0,1,0,0,0,0,1,0,0,0,0,3.424262655,0
275,1,18,0,0,7.75,U,1,1,0,0,1,0,1,0,0,0,0,0,2.1690537,1
276,1,63,1,0,77.9583,D,2,0,1,0,0,0,1,0,0,0,0,0,4.368919865,1
277,1,45,0,0,7.75,U,1,1,0,0,1,0,1,0,0,0,0,0,2.1690537,0
278,0,30,0,0,0,U,1,1,0,1,0,0,0,1,0,0,0,0,0,0
279,0,7,4,1,29.125,U,6,0,0,0,1,1,0,0,0,0,0,0,3.405355392,0
280,1,35,1,1,20.25,U,3,0,0,0,1,0,0,0,1,0,0,0,3.056356895,1
281,0,65,0,0,7.75,U,1,1,0,0,1,0,0,1,0,0,0,0,2.1690537,0
282,0,28,0,0,7.8542,U,1,1,0,0,1,0,0,1,0,0,0,0,2.180891923,0
283,0,16,0,0,9.5,U,1,1,0,0,1,0,0,1,0,0,0,0,2.351375257,0
284,0,19,0,0,8.05,U,1,1,0,0,1,0,0,1,0,0,0,0,2.202764758,1
285,0,41.5,0,0,26,A,1,1,1,0,0,0,0,1,0,0,0,0,3.295836866,0
